year,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1990,133632,105944,27414,47400,107764.02771362584,79.28041187739464,20.514547413793103
1991,133379,105573,27540,47500,103147.64705882351,79.15264022072441,20.647928084631015
1992,133133,105209,27678,50700,106874.58672376872,79.02548579240309,20.789736579210263
1993,132982,105254,27452,50800,103968.55440055439,79.14905776721662,20.643395346738657
1994,132628,104880,27584,54200,108227.02907369843,79.07832433573604,20.798021533914408
1995,132418,104500,27648,54500,105612.70341207348,78.91676358199037,20.87933664607531
1996,132051,103961,27823,58700,110630.20804084238,78.72791572952875,21.069889663842
1997,131911,104072,27627,59100,108950.59176029962,78.8956190158516,20.94366656306146
1998,131843,103691,27888,64100,116280.86486486484,78.64733053707819,21.152431300865423
1999,131744,103475,27971,64500,114750.93975903613,78.54247631770707,21.23132742288074
2000,131567,104039,27259,72100,123653.59349593495,79.0768201752719,20.718721259890398
2001,132464,104874,27217,72600,120657.35959482273,79.1716994806136,20.546714579055443
2002,132607,104949,27198,83800,137797.80846325165,79.1428808433944,20.51022947506542
2003,132933,105767,26913,89300,144034.90114691426,79.5641413343564,20.245537225519623
2004,133762,106559,26926,98700,154308.48914769717,79.66313302731717,20.12978274846369
2005,134276,107339,26734,112300,171220.1053175013,79.93908069945486,19.909738151270517
2006,134859,106348,28217,126400,184982.45391476707,78.8586597854055,20.923334742212234
2007,135753,106021,29279,127600,181842.03750349843,78.09845822928406,21.567847487716662
2008,136449,104874,30335,128600,174646.63322036393,76.85948596178793,22.231749591422435
2009,136733,103208,32490,116700,160458.01759858467,75.48141268018693,23.76163764416783
2010,136840,101580,33645,111900,152151.72813871148,74.23268050277697,24.58710903244665
2011,136408,99732,35143,112000,147134.5782585874,73.11301389947803,25.76315172130667
2012,136205,97343,37367,95800,123805.03754529063,71.46800778238685,27.434381997724017
2013,135660,95648,38281,91800,116634.51741272128,70.50567595459236,28.218339967565974
2014,135185,94685,38989,91800,114281.48260556167,70.04105485076006,28.84121759070903
2015,135136,93390,40404,91300,113455.30070648034,69.10815770779067,29.89876864788065
2016,134969,92467,41368,92200,113350.3242833712,68.50980595544162,30.650001111366315
2017,134746,92375,41589,94500,114302.72399995083,68.55491072091195,30.86473809983228
2018,134742,92137,42167,100200,117840.47977444864,68.38031200368111,31.294622315239494
2019,134958,92703,41817,102800,118889.40911102323,68.69025919174855,30.985195394122616
2020,135048,93417,41490,117200,134565.1399402061,69.17318286831349,30.722409809845384
2021,134927,94222,40547,117200,127742.39855326529,69.83183499225507,30.05106464977358
2022,135140,94997,39901,139900,139900,70.29524937102263,29.52567707562528
