year,aldermanic,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1990,1,10640,8764,1865,36200,84673.16551193225,82.36842105263158,17.528195488721803
1990,10,10210,8494,1705,51200,119758.73133179368,83.19294809010773,16.699314397649363
1990,11,11157,10312,842,68000,159054.56505003848,92.42627946580622,7.546831585551672
1990,12,6469,4165,2292,29700,69469.42032332563,64.38398515999381,35.43051476271448
1990,13,10224,9467,755,64100,149932.31793687452,92.59585289514867,7.384585289514867
1990,14,11367,9616,1742,52800,123501.19168591224,84.59575965514207,15.325063781120788
1990,15,9723,4901,4729,22100,51692.73364126251,50.406253214028595,48.6372518769927
1990,2,9352,8198,1142,47400,110870.38799076212,87.66039349871684,12.211291702309666
1990,3,5737,4242,1493,75000,175427.82909930716,73.94108419034339,26.024054383824296
1990,4,1428,791,619,34800,81398.51270207851,55.392156862745104,43.34733893557423
1990,5,11186,10095,1088,58700,137301.5142417244,90.24673699266941,9.72644376899696
1990,6,9570,5808,3710,23600,55201.29022324865,60.689655172413794,38.76698014629049
1990,7,11505,8908,2565,38700,90520.75981524249,77.42720556279879,22.294654498044327
1990,8,7185,5523,1653,42500,99409.10315627405,76.86847599164926,23.006263048016702
1990,9,7873,6656,1212,55700,130284.40107775212,84.54210593166519,15.394385875777974
1990,NA,6,4,2,30900,72276.26558891455,66.66666666666666,33.33333333333333
1991,1,10634,8665,1951,36200,80875.32500000001,81.48391950347941,18.346812112093286
1991,10,10188,8481,1705,51200,114387.20000000001,83.2449941107185,16.735374950922655
1991,11,11166,10336,829,68100,152143.9125,92.56672040121798,7.424323840229268
1991,12,6435,4106,2312,29800,66576.925,63.8073038073038,35.92851592851593
1991,13,10238,9487,750,64300,143654.23750000002,92.66458292635281,7.325649540925962
1991,14,11369,9652,1711,52900,118185.21250000001,84.89752836661097,15.049696543231594
1991,15,9577,4785,4691,22600,50491.225000000006,49.96345410880234,48.98193588806515
1991,2,9349,8201,1140,47400,105897.52500000001,87.72061183014226,12.193817520590438
1991,3,5747,4217,1526,75000,167559.375,73.37741430311466,26.552984165651644
1991,4,1418,811,604,35100,78417.7875,57.19322990126939,42.59520451339915
1991,5,11191,10094,1095,58800,131366.55000000002,90.19748011795193,9.784648378161021
1991,6,9494,5733,3702,23800,53172.175,60.38550663576996,38.99304824099431
1991,7,11486,8793,2660,38800,86684.05,76.55406581925823,23.158627894828488
1991,8,7157,5512,1638,42000,93833.25,77.01550929160263,22.886684364957386
1991,9,7924,6696,1224,55900,124887.58750000001,84.50277637556789,15.446744068652196
1991,NA,6,4,2,30900,69034.46250000001,66.66666666666666,33.33333333333333
1992,1,10631,8584,2019,36400,78942.27266238401,80.74499106386982,18.991628256984292
1992,10,10185,8490,1687,55600,120582.15274803713,83.3578792341679,16.56357388316151
1992,11,11171,10360,809,76100,165041.39971448967,92.74013069555099,7.241965804314744
1992,12,6418,4082,2324,30600,66363.55888650965,63.602368339046436,36.210657525708946
1992,13,10255,9538,716,70800,153547.05781584585,93.00828863968795,6.981960019502681
1992,14,11356,9605,1747,59600,129257.12776588152,84.58083832335329,15.383938006340262
1992,15,9396,4655,4651,21600,46844.86509635975,49.54235845040443,49.499787143465305
1992,2,9349,8163,1175,49300,106919.06709493221,87.31415124612258,12.568189111134881
1992,3,5761,4225,1534,81000,175668.24411134905,73.33796215934734,26.627321645547646
1992,4,1413,808,602,35700,77424.15203426125,57.18329794762915,42.604387827317765
1992,5,11201,10126,1073,65100,141185.21841541756,90.40264262119454,9.579501830193733
1992,6,9437,5647,3758,22900,49664.23197715918,59.83893186393981,39.8219773233019
1992,7,11465,8708,2726,39900,86532.87580299786,75.95290013083297,23.7767117313563
1992,8,7154,5496,1650,44800,97159.72019985726,76.82415431926195,23.064020128599385
1992,9,7935,6718,1206,61100,132510.24339757318,84.66288594833019,15.198487712665406
1992,NA,6,4,1,28600,62026.07137758745,66.66666666666666,16.666666666666664
1993,1,10625,8537,2066,36400,76644.57657657657,80.34823529411764,19.44470588235294
1993,10,10181,8520,1655,55700,117283.04712404711,83.68529613986838,16.255770552990864
1993,11,11171,10389,782,76200,160448.26195426192,92.999731447498,7.000268552502015
1993,12,6413,4060,2338,30600,64431.9792099792,63.30890378917823,36.45719631997505
1993,13,10264,9578,684,70900,149288.47470547468,93.31644583008574,6.66406858924396
1993,14,11352,9631,1720,59800,125916.09009009007,84.83967582804792,15.151515151515152
1993,15,9290,4603,4587,21700,45691.959112959106,49.54790096878364,49.375672766415505
1993,2,9349,8205,1137,49200,103596.51559251559,87.76339715477592,12.1617285271152
1993,3,5756,4237,1514,81200,170976.3631323631,73.61014593467686,26.302988186240444
1993,4,1393,798,590,35900,75591.76645876645,57.286432160804026,42.354630294328786
1993,5,11225,10173,1049,65100,137075.87733887733,90.62806236080179,9.34521158129176
1993,6,9388,5560,3764,23000,48429.265419265415,59.22454196847039,40.093736685129954
1993,7,11465,8697,2736,40000,84224.80942480941,75.85695595290012,23.863933711295246
1993,8,7156,5495,1650,44800,94331.78655578654,76.78870877585243,23.05757406372275
1993,9,7948,6766,1179,61450,129390.36347886347,85.12833417211877,14.833920483140412
