year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1990,City of Milwaukee,1,2,45550,106543.16820631255
1990,City of Milwaukee,10,8,26750,62569.25904541955
1990,City of Milwaukee,11,1,70600,165136.06312548113
1990,City of Milwaukee,12,7,24000,56136.90531177829
1990,City of Milwaukee,14,2,88150,206186.17513471903
1990,City of Milwaukee,15,65,19700,46079.043110084676
1990,City of Milwaukee,2,1,55700,130284.40107775212
1990,City of Milwaukee,3,1,29500,69001.61277906082
1990,City of Milwaukee,4,7,18200,42570.48652809853
1990,City of Milwaukee,5,1,48500,113443.32948421863
1990,City of Milwaukee,6,39,18700,43740.00538876058
1990,City of Milwaukee,7,18,20600,48184.177059276364
1990,City of Milwaukee,8,3,36000,84205.35796766743
1990,City of Milwaukee,9,2,50600,118355.30869899923
1990,City of Milwaukee landlord,1,1265,35700,83503.6466512702
1990,City of Milwaukee landlord,10,1086,47800,111806.00307929175
1990,City of Milwaukee landlord,11,515,74300,173790.5026943803
1990,City of Milwaukee landlord,12,1533,28600,66896.47882986913
1990,City of Milwaukee landlord,13,495,67400,157651.14241724403
1990,City of Milwaukee landlord,14,1151,50500,118121.40492686682
1990,City of Milwaukee landlord,15,3797,20600,48184.177059276364
1990,City of Milwaukee landlord,2,659,50000,116951.88606620477
1990,City of Milwaukee landlord,3,1118,66800,156247.71978444958
1990,City of Milwaukee landlord,4,500,25450,59528.51000769823
1990,City of Milwaukee landlord,5,567,66100,154610.3933795227
1990,City of Milwaukee landlord,6,3142,20900,48885.888375673596
1990,City of Milwaukee landlord,7,1862,35300,82568.03156274057
1990,City of Milwaukee landlord,8,1002,39600,92625.89376443418
1990,City of Milwaukee landlord,9,709,50800,118823.11624326404
1990,bank,1,9,30300,70872.84295612009
1990,bank,10,3,31000,72510.16936104695
1990,bank,11,2,56300,131687.82371054657
1990,bank,12,5,31100,72744.07313317936
1990,bank,13,2,65150,152388.30754426483
1990,bank,14,7,48000,112273.81062355658
1990,bank,15,28,23150,54148.72324865281
1990,bank,2,11,40900,95666.6428021555
1990,bank,3,1,150600,352259.0808314088
1990,bank,4,11,34000,79527.28252501924
1990,bank,5,2,78700,184082.2686682063
1990,bank,6,13,17500,40933.16012317167
1990,bank,7,14,35600,83269.7428791378
1990,bank,8,6,39050,91339.42301770594
1990,bank,9,3,51300,119992.63510392609
1990,outside WI landlord,1,121,39500,92391.98999230177
1990,outside WI landlord,10,79,50300,117653.59738260199
1990,outside WI landlord,11,35,73700,172387.08006158582
1990,outside WI landlord,12,43,30100,70405.03541185526
1990,outside WI landlord,13,40,62900,147125.4726712856
1990,outside WI landlord,14,73,55500,129816.59353348729
1990,outside WI landlord,15,100,24350,56955.56851424172
1990,outside WI landlord,2,54,47800,111806.00307929175
1990,outside WI landlord,3,78,62300,145722.05003849114
1990,outside WI landlord,4,22,41850,97888.7286374134
1990,outside WI landlord,5,83,62000,145020.3387220939
1990,outside WI landlord,6,128,21050,49236.74403387221
