year,owner_type2,city_nhood,parcels,median_value,median_value_adj
1990,City of Milwaukee,ARLINGTON HEIGHTS,2,29200,68299.90146266358
1990,City of Milwaukee,AVENUES WEST,3,20000,46780.75442648191
1990,City of Milwaukee,BAY VIEW,1,25900,60581.07698229407
1990,City of Milwaukee,BORCHERT FIELD,11,17800,41634.871439568895
1990,City of Milwaukee,BRADLEY ESTATES,1,64200,150166.22170900693
1990,City of Milwaukee,BREWER'S HILL,3,15600,36488.98845265589
1990,City of Milwaukee,CLARKE SQUARE,2,22450,52511.39684372594
1990,City of Milwaukee,CLOCK TOWER ACRES,2,25950,60698.02886836027
1990,City of Milwaukee,CONCORDIA,1,19100,44675.62047729022
1990,City of Milwaukee,DOWNER WOODS,1,29500,69001.61277906082
1990,City of Milwaukee,FRANKLIN HEIGHTS,18,20600,48184.177059276364
1990,City of Milwaukee,HARAMBEE,8,16150,37775.45919938414
1990,City of Milwaukee,HISTORIC MITCHELL STREET,2,34100,79761.18629715165
1990,City of Milwaukee,HONEY CREEK MANOR,1,70600,165136.06312548113
1990,City of Milwaukee,KING PARK,3,15300,35787.27713625866
1990,City of Milwaukee,LENOX HEIGHTS,1,46600,108999.15781370284
1990,City of Milwaukee,MENOMONEE RIVER HILLS EAST,1,37000,86544.39568899153
1990,City of Milwaukee,MERRILL PARK,5,26300,61516.69207082371
1990,City of Milwaukee,METCALFE PARK,7,14800,34617.758275596614
1990,City of Milwaukee,MIDTOWN,13,14100,32980.431870669745
1990,City of Milwaukee,MUSKEGO WAY,2,32700,76486.53348729791
1990,City of Milwaukee,NORTH DIVISION,20,14050,32863.479984603546
1990,City of Milwaukee,OLD NORTH MILWAUKEE,1,33000,77188.24480369515
1990,City of Milwaukee,PARK WEST,10,20700,48418.08083140878
1990,City of Milwaukee,POLONIA,1,150400,351791.27328714397
1990,City of Milwaukee,RIVERWEST,1,27000,63154.01847575058
1990,City of Milwaukee,RUFUS KING,2,45550,106543.16820631255
1990,City of Milwaukee,SHERMAN PARK,6,37100,86778.29946112394
1990,City of Milwaukee,SILVER SPRING,1,55700,130284.40107775212
1990,City of Milwaukee,THE VALLEY / PIGSVILLE,2,26350,61633.64395688991
1990,City of Milwaukee,TRIANGLE,2,7150,16724.119707467282
1990,City of Milwaukee,TRIANGLE NORTH,1,9700,22688.665896843726
1990,City of Milwaukee,VOGEL PARK,1,48500,113443.32948421863
1990,City of Milwaukee,WALKER'S POINT,2,18400,43038.29407236335
1990,City of Milwaukee,WALNUT HILL,7,20400,47716.369515011545
1990,City of Milwaukee,WASHINGTON PARK,9,29000,67832.09391839876
1990,City of Milwaukee,WILLIAMSBURG,3,21700,50757.11855273287
1990,City of Milwaukee landlord,ALCOTT PARK,12,94650,221389.9203233256
1990,City of Milwaukee landlord,ALVERNO,6,80550,188409.4884526559
1990,City of Milwaukee landlord,ARLINGTON GARDENS,24,78800,184316.1724403387
1990,City of Milwaukee landlord,ARLINGTON HEIGHTS,288,28050,65610.00808314087
1990,City of Milwaukee landlord,AVENUES WEST,157,20700,48418.08083140878
1990,City of Milwaukee landlord,BARAN PARK,12,35350,82684.98344880677
1990,City of Milwaukee landlord,BAY VIEW,633,50000,116951.88606620477
1990,City of Milwaukee landlord,BLUEMOUND HEIGHTS,101,56100,131220.01616628174
1990,City of Milwaukee landlord,BORCHERT FIELD,337,19600,45845.13933795227
1990,City of Milwaukee landlord,BRADLEY ESTATES,106,44000,102917.65973826019
