year,owner_type2,parcels,median_value,median_value_adj
1990,bank,117,33700,76617.04080061584
1990,City of Milwaukee,157,20300,46152.10469591993
1990,City of Milwaukee landlord,19401,32500,73888.83756735949
1990,outside WI landlord,1159,41200,93668.31100846804
1990,owner occupied,105944,50100,113902.48498845263
1990,rest of Wisconsin landlord,1026,37650,85597.37644341799
1990,suburbs landlord,5802,40600,92304.20939183986
1990,NA,26,43150,98101.6412625096
1991,bank,125,30000,65145.88235294117
1991,City of Milwaukee,141,20800,45167.811764705875
1991,City of Milwaukee landlord,19317,32400,70357.55294117646
1991,outside WI landlord,1229,40600,88164.09411764704
1991,owner occupied,105573,50200,109010.77647058821
1991,rest of Wisconsin landlord,1055,37200,80780.89411764704
1991,suburbs landlord,5919,40600,88164.09411764704
1991,NA,20,52900,114873.90588235292
1992,bank,170,31250,65874.37544610992
1992,City of Milwaukee,76,21000,44267.58029978586
1992,City of Milwaukee landlord,19156,32100,67666.1584582441
1992,outside WI landlord,1243,40900,86216.38258386865
1992,owner occupied,105209,54400,114674.11277658814
1992,rest of Wisconsin landlord,1091,39000,82211.22055674517
1992,suburbs landlord,6167,41600,87691.96859386151
1992,NA,21,43300,91275.5346181299
1993,bank,92,32700,66924.64033264032
1993,City of Milwaukee,184,20050,41034.83298683298
1993,City of Milwaukee landlord,18982,31900,65287.34026334025
1993,outside WI landlord,1210,41200,84320.95356895356
1993,owner occupied,105254,54500,111541.0672210672
1993,rest of Wisconsin landlord,1058,39050,79920.70963270962
1993,suburbs landlord,6178,41700,85344.2661122661
1993,NA,24,40600,83092.9785169785
1994,bank,62,32650,65195.802569303574
1994,City of Milwaukee,102,16600,33147.02366463827
1994,City of Milwaukee landlord,18793,32200,64297.23867478025
1994,outside WI landlord,1234,41250,82368.3569979716
1994,owner occupied,104880,59000,117811.71061528058
1994,rest of Wisconsin landlord,1080,40800,81469.79310344828
1994,suburbs landlord,6460,43600,87060.85733603785
1994,NA,17,71000,141773.41446923596
1995,bank,63,36800,71312.79790026246
1995,City of Milwaukee,207,16600,32168.27296587926
1995,City of Milwaukee landlord,18622,32000,62011.12860892388
1995,outside WI landlord,1213,42100,81583.39107611547
1995,owner occupied,104500,59300,114914.37270341205
1995,rest of Wisconsin landlord,1100,42000,81389.60629921258
1995,suburbs landlord,6700,43700,84683.94750656167
1995,NA,13,71000,137587.19160104985
1996,bank,86,30800,58047.877472878114
1996,City of Milwaukee,181,18900,35620.28844926611
1996,City of Milwaukee landlord,18376,33500,63136.49010848756
1996,outside WI landlord,1250,42800,80663.93363114231
1996,owner occupied,103961,64400,121372.83471601787
1996,rest of Wisconsin landlord,1122,44950,84715.97702616465
1996,suburbs landlord,7061,46500,87637.21761327377
1996,NA,14,61150,115247.65283982133
1997,bank,93,32200,59360.55930087391
1997,City of Milwaukee,119,17000,31339.425717852682
1997,City of Milwaukee landlord,18191,34100,62863.200998751556
1997,outside WI landlord,1293,42600,78532.91385767791
1997,owner occupied,104072,64600,119089.8177278402
1997,rest of Wisconsin landlord,1127,45500,83879.05118601747
